label	query	doc	generated_explanation
0	1	2	" The question is about 1. The passage is about 2.



 
Please provide the passage and the question. 
"
0	function of manganese in the body	A manganese atom Mn has a mass number of 55 how many neutrons does the atom have?	" The question is about the function of manganese in the body. The passage is about the mass number of manganese.



 
"
1	a collection of organs whose primary function is movement	The Muscular system is the organ system whose primary function is movement and flexibility. The muscular system is made up of the muscles that let you move. There are three kinds of muscle in your body. Smooth muscle moves food through the digestive system.Cardiac muscle pumps blood throughout the body.he Muscular system is the organ system whose primary function is movement and flexibility. The muscular system is made up of the muscles that let you move. There are three kinds of muscle in your body. Smooth muscle moves food through the digestive system.	" The question is a collection of organs whose primary function is movement. The passage describes the muscular system and its function.



 
Please provide the passage and the question. 
"
0	where is richland county south carolina	jonesville south carolina. Follow jonesville south carolina to get e-mail alerts and updates on your eBay Feed. Unfollow jonesville south carolina to stop getting updates on your eBay Feed. Yay! You're now following jonesville south carolina in your eBay Feed.	" The question is where is richland county south carolina. The passage is about jonesville south carolina.



 
Please provide the passage and the question. 
"
1	what is pka	But again, they're all considered to be weak acids, relative to the stronger ones. Let's talk about pKas. The pKa is defined as the negative log of the Ka. If we wanted to find the pKa for methanol, all we have to do is take the Ka and take the negative log of it. So the pKa is equal to the negative log of 2.9 times 10 to the negative 16. Let's get out the calculator and let's do that. Negative log of 2.9 times 10 to the negative 16.	" The question is what is pka. The passage defines pKa.



 
Please provide the passage and the question. 
"
0	what happened since the alaska earthquake	What to do in an earthquake. There are number of things you can do to stay safe during an earthquake. Remember, for earthquake emergency assistance from the SES call 132 500.For life-threatening emergencies call triple-zero (000). Please do not phone emergency services for general advice.here are number of things you can do to stay safe during an earthquake. Remember, for earthquake emergency assistance from the SES call 132 500. For life-threatening emergencies call triple-zero (000). Please do not phone emergency services for general advice.	" The question is about what happened since the Alaska earthquake. The passage is about earthquake safety tips.



 
Please provide the passage and the question. 
"
1	why is the zero volatility spread zero	DEFINITION of 'Zero-Volatility Spread-Z-spread'. The constant spread that will make the price of a security equal to the present value of its cash flows when added to the yield at each point on the spot rate Treasury curve where a cash flow is received.he Z-spread is also known as a static spread.	" The question is why is the zero volatility spread zero. The passage defines the zero volatility spread.



 



**Please provide the passage and the question.** 
"
0	what actor died today at the age of 67	Roy Buchanan died on August 14, 1988 at the age of 48. Roy Buchanan died on August 14, 1988 at the age of 48.	" The question is about what actor died today at the age of 67. The passage is about Roy Buchanan who died in 1988.



 
Please provide the passage and the question. 
"
1	dimension of a soccer field in yards	The official soccer field size for adults can range from 50 to 100 yards wide by 100 to 130 yards long. However, the rules allow soccer field sizes to be reduced for women, players with disabilities and for players under 16 and over 35 years of age.	" The question is about the dimension of a soccer field in yards. The passage describes the dimensions of a soccer field.



 
Please provide the passage and the question. 
"
0	what does prefix de mean	Locations For Telephone Prefix 483 This page (and others like it) shows the area codes and states / provinces / territories / countries for a specific prefix. In AAA-PPP-NNNN the PPP is the prefix (the AAA is the area code).ocations For Telephone Prefix 483. This page (and others like it) shows the area codes and states / provinces / territories / countries for a specific prefix. In AAA-PPP-NNNN the PPP is the prefix (the AAA is the area code). To find the exact city location for any prefix, please use our search engine HERE.	" The question is about the meaning of prefix de. The passage is about telephone prefixes.



 
Please provide the passage and the question. 
"
1	who was john d. rockefeller	John Davison Rockefeller Sr. (July 8, 1839 â May 23, 1937) was an American business magnate and philanthropist. He was a co-founder of the Standard Oil Company, which dominated the oil industry and was the first great U.S. business trust. Rockefeller revolutionized the petroleum industry, and along with other key contemporary industrialists such as Andrew Carnegie, defined the structure of modern philanthropy.	" The question is who was john d. rockefeller. The passage describes John Davison Rockefeller.



 
Please provide the passage and the question. 
"
0	normal respiration rate	A heart rate above or below that may signal a problem. A normal resting heart rate for adults ranges from 60 to 100 beats a minute. A heart rate above or below that may signal a problem. A normal resting heart rate for adults ranges from 60 to 100 beats a minute. Generally, a lower heart rate at rest implies more efficient heart function and better cardiovascular fitness. For example, a well-trained athlete might have a normal resting heart rate closer to 40 beats a minute. To measure your heart rate, simply check your pulse. Place your index and third fingers on your neck to the side of your windpipe.	" The question is about normal respiration rate. The passage is about normal heart rate.



 
Please provide the passage and the question. 
"
1	causes of laryngitis	Causes of laryngitis include upper respiratory infection or thecommon cold; overuse of the vocal cords by talking, singing, or shouting; gastroesophageal reflux disease (GERD) causingreflux laryngitis;smoking; exposure to secondhand smoke; or exposure to polluted air.	" The question is about the causes of laryngitis. The passage lists the causes of laryngitis.



 
Please provide the passage and the question. 
"
